,Content,Query Name,Title,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1
15,"When Janet Halloran last saw her primary care physician, the doctor asked whether she had undergone her annual mammogram. Yes, she replied, she had.",cancer,Aging Out of the Mammogram,15.0,15.0,15.0,15.0
16,Test your knowledge of this week’s health news.,cancer,"Weekly Health Quiz: Coronavirus, Exercise and Prostate Cancer",16.0,16.0,16.0,16.0
17,"I know bad news is coming my way when my oncologist walks into the exam room with a nurse. It doesn’t matter that he introduces her as a new nurse getting to know the system. In my more than six years of seeing my oncologist for metastatic colon cancer, he has never come in accompanied. He wants her in the room to learn how to give bad news.",cancer,How to Give Bad News,17.0,17.0,17.0,17.0
18,"The new coronavirus is a serious threat to the elderly, as federal officials have been at pains to note recently. But they have stepped gingerly around advice for another group of Americans also at special risk from the infection: those with chronic health conditions.",cancer,Coronavirus Threatens Americans With Underlying Conditions,18.0,18.0,18.0,18.0
19,"SEATTLE — On an overcast day in Seattle, a few dozen medical staff members, students and emergency workers with symptoms of the fast-spreading coronavirus spent their lunch break driving to a parking garage.",cancer,Coronavirus Testing Goes Mobile in Seattle,19.0,19.0,19.0,19.0
20,"A shortage of nurses elevated the misery of a woman in my support group during a recent health crisis, she informed us. Because I participate in a clinical trial, in which I am vigilantly monitored in both Bloomington and Indianapolis hospitals, I was surprised. But I quickly began to realize that her ordeal could not possibly be unusual and then to fear that our current health care system is becoming more unfriendly, inhospitable to patients and to nurses as well.",cancer,The Nursing Shortage Is Threatening Our Care,20.0,20.0,20.0,20.0
21,"Metformin, the world’s most widely prescribed diabetes drug, might do more than control diabetes. A study in Scotland in 2005 found that people taking metformin were 23 percent less likely to get cancer, suggesting that it might also prevent cancer. Other studies are exploring metformin’s ability to treat cancer, alone and in combination with other therapies.",cancer,Repurposing Drugs to Fight Cancer,21.0,21.0,21.0,21.0
22,"Howard Wolinsky is a medical journalist in Flossmoor, Ill., who knows better than to go forward with potentially life-changing surgery without first seeking a second opinion.",cancer,"Before Prostate Surgery, Consider ‘Active Surveillance’",22.0,22.0,22.0,22.0
23,Listen and subscribe to our podcast from your mobile device: Via Apple Podcasts | Via RadioPublic | Via Stitcher,cancer,"Modern Love Podcast: Lesley Manville Reads ‘The Kindness, and Xanax, of Strangers’",23.0,23.0,23.0,23.0
24,"We’ve long been schooled on the lifesaving value of early detection of a potentially deadly cancer. So when a simple blood test was introduced in 1994 that could detect the possible presence of prostate cancer, the second leading cause of cancer deaths among American men, it’s not hard to understand why it quickly became hugely popular.",cancer,Debating the Value of PSA Prostate Screening,24.0,24.0,24.0,24.0
25,"My patient was brought to the emergency room by his friend because he could no longer catch his breath and had a cough that wouldn’t extinguish. He lived with three other young men, all in their early 20s, in a small house located in what many of us considered the no-man’s land between Cleveland and Buffalo, the four of them suspended between spending some time in a community college and finding work that they might one day call a career.",cancer,When the Teenager or Young Adult Has Cancer,25.0,25.0,25.0,25.0
26,The conservative radio talk show host Rush Limbaugh said on his live show on Monday that he had advanced lung cancer.,cancer,Rush Limbaugh Reveals He Has Advanced Lung Cancer,26.0,26.0,26.0,26.0
27,"African-American men with prostate cancer are almost twice as likely to die from the illness as white men with the same disease. Disparities in medical care, rather than racial differences in the course of the cancer, may be a large part of the explanation, a new study suggests.",cancer,Access to Care May Explain Disparities in Prostate Cancer Outcomes,27.0,27.0,27.0,27.0
28,"People who worked at ground zero after the World Trade Center attack in 2001 have higher rates of cancer than the general population, a new study has found.",cancer,9/11 Workers May Be at Higher Cancer Risk,28.0,28.0,28.0,28.0
29,"Men with early stage prostate cancer are often advised to increase their intake of vegetables to lower the risk for progression to more serious disease. But now a randomized trial has found that vegetables, whatever other health benefits they may confer, have no discernible effect on prostate cancer progression.",cancer,Eating More Vegetables Did Not Affect Prostate Cancer Progression,29.0,29.0,29.0,29.0
30,"Do you know what to say or what to do when a friend, relative or acquaintance has cancer? ",cancer,What to Say to Someone With Cancer,30.0,30.0,30.0,30.0
31,"Just when I needed it most, I learned a valuable life lesson from Lynda Wolters, who has a cancer that is currently incurable, diagnosed just after her 49th birthday. As an Idaho farm girl used to hard work, Ms. Wolters led a healthy life, enjoying ballroom dancing, horseback riding, rafting and hiking when not at work at a law firm. Then, as she wrote in her recently published book, “Voices of Cancer”:",cancer,"When Life Throws You Curveballs, Embrace the ‘New Normal’",31.0,31.0,31.0,31.0
32,"When the American Cancer Society reported that the United States had experienced the sharpest one-year drop in cancer death rate ever recorded, it quickly caught the attention of President Trump.",cancer,Trump Took Credit for Lower Cancer Death Rates. Advocates Say Not So Fast.,32.0,32.0,32.0,32.0
33,"Justice Ruth Bader Ginsburg, whose health has become a preoccupation of the American public as the Supreme Court hews rightward under President Trump, announced this week that she was cancer-free.",cancer,Ruth Bader Ginsburg Says She No Longer Has Pancreatic Cancer,33.0,33.0,33.0,33.0
34,Test your knowledge of this week’s health news.,cancer,"Weekly Health Quiz: Running, Body Temperature and a Deadly New Virus",34.0,34.0,34.0,34.0
35,"When in distress with cancer and its treatments, I think of Shakespeare “in disgrace with fortune and men’s eyes” and all alone lament my downcast state. I am not completely bereft, then, because his poem supports my complaint. Why are sonnets so bracing, I wonder as I launch into a neo-Shakespearean sort of pity party. ",cancer,"When in Distress, Try Sonnets",35.0,35.0,35.0,35.0
36,"The cancer death rate in the United States fell 2.2 percent from 2016 to 2017 — the largest single-year decline in cancer mortality ever reported, the American Cancer Society reported on Wednesday. Since 1991 the rate has dropped 29 percent, which translates to approximately 2.9 million fewer cancer deaths than would have occurred if the mortality rate had remained constant. ",cancer,Cancer Death Rate in U.S. Sees Sharpest One-Year Drop,36.0,36.0,36.0,36.0
37,"Vaccines prevent diseases, and being unvaccinated carries a risk. Last year, the World Health Organization ranked vaccine hesitancy, a “reluctance or refusal to vaccinate despite the availability of vaccines,” among the top 10 health threats worldwide, alongside Ebola, H.I.V. and drug-resistant infections. ",cancer,You Are Unvaccinated and Got Sick. These Are Your Odds.,37.0,37.0,37.0,37.0
38,"Artificial intelligence can help doctors do a better job of finding breast cancer on mammograms, researchers from Google and medical centers in the United States and Britain are reporting in the journal Nature.",cancer,A.I. Is Learning to Read Mammograms,38.0,38.0,38.0,38.0
39,"I found myself unexpectedly back in the hospital last month, some 10 years after my last treatment for an aggressive prostate cancer. Fortunately, it had nothing to do with my cancer; my P.S.A. level, a measure of prostate cancer progression, has been undetectable  since 2009.",cancer,Back in the Hospital Again,39.0,39.0,39.0,39.0
40,"WASHINGTON — Representative John Lewis, Democrat of Georgia and an icon of the civil rights movement, announced on Sunday that he had advanced pancreatic cancer, but planned to return to Washington to continue work and begin treatment. ",cancer,"John Lewis, Congressman and Civil Rights Icon, Has Pancreatic Cancer",40.0,40.0,40.0,40.0
41,"Brain surgeons are bringing artificial intelligence and new imaging techniques into the operating room, to diagnose tumors as accurately as pathologists, and much faster, according to a report in the journal Nature Medicine.",cancer,A.I. Comes to the Operating Room,41.0,41.0,41.0,41.0
42,"NASHVILLE — Dear Mr. Lewis, I write with a heavy heart. Stage 4 pancreatic cancer is a brutal diagnosis, so it’s no surprise that last Sunday night the internet erupted with anguish as news of your illness became public. Treatment may give you a “fighting chance” to continue working “for the Beloved Community,” as you wrote in a statement, but it’s painful to think of what you will be called on to bear in the coming months. You have already borne so much for us.",cancer,An Open Letter to John Lewis,42.0,42.0,42.0,42.0
43,"BOSTON — Zaosong Zheng was preparing to board Hainan Airlines Flight 482, nonstop from Boston to Beijing, when customs officers pulled him aside.",cancer,Stolen Research: Chinese Scientist Is Accused of Smuggling Lab Samples,43.0,43.0,43.0,43.0
44,Advice from Well on ways to minimize risks and increase your longevity.,cancer,Five Tips for Living Longer in 2020,44.0,44.0,44.0,44.0
45,Even moderate alcohol consumption may increase the risk for cancer.,cancer,Even a Little Alcohol May Raise Cancer Risk,45.0,45.0,45.0,45.0
46,"Amid mounting excitement about the kids flying in for a visit, I look around the apartment with trepidation. Why am I so nervous about their imminent arrival? It has been months since our last get-together and they can replace ceiling light bulbs too risky for me or my older husband to reach.",cancer,Sticking to My Own Premises,46.0,46.0,46.0,46.0
47,"For decades, scientists have debated whether hair dyes frequently used by women might contribute to cancer. The research has been mixed and inconclusive, but now government investigators have turned up a disturbing new possibility.",cancer,Hair Dyes and Straighteners May Raise Breast Cancer Risk for Black Women,47.0,47.0,47.0,47.0
48,"I recently was told by my doctor to go see a doctor at the Cancer Institute to be tested for cervical cancer. When I told my mother she freaked out and told me my vegetarian diet was to blame, and that all the soy in my diet was the leading cause of all of this. Could diet lead to cervical cancer?",cancer,Your Mom Is Wrong: Your Vegetarian Diet Did Not Cause Cancer,48.0,48.0,48.0,48.0
49,"KEY WEST, Fla. — It was a photo of a photo, and it was too good to resist: an image of a buzz-haired woman using her cellphone to capture a bruised banana stuck to the wall with a piece of duct tape at Art Basel in Miami Beach.",cancer,"A Woman, a Banana and a $120,000 Question About What a Life Is Worth",49.0,49.0,49.0,49.0
50,"The Senate voted 72 to 18 to confirm Dr. Stephen Hahn as commissioner of the Food and Drug Administration, as the agency faces pressure to reduce teenage vaping and weighs competing interests on a long-delayed proposal to ban flavored e-cigarettes. ",cancer,Senate Confirms Stephen Hahn to Head F.D.A.,50.0,50.0,50.0,50.0
51,"In 2019, measles cases in the U.S. have been on the rise, much of it driven by false claims about the safety of the vaccine.",cancer,Terminally Ill at 25 and Fighting Fake News on Vaccines,51.0,51.0,51.0,51.0
52,We’ll need more than facts to fight medical misinformation.,cancer,Terminally Ill at 25 and Fighting Fake News on Vaccines,52.0,52.0,52.0,52.0
53,"Many women who have mammograms get normal results that come with a caveat: They are told they have dense breast tissue, which can make their scans harder to read and could leave cancer undetected.",cancer,"M.R.I.s Can Better Detect Cancer in Women With Dense Breasts, Study Finds",53.0,53.0,53.0,53.0
54,"In the literary world, it has been a year of big, bold ambition. Novelists have stretched their canvases — writing a sentence that runs for a thousand pages; charting the fate of three families in Africa across four generations. Nonfiction writers have made riveting narrative from sprawling, difficult material: The Irish Troubles, the nuclear disaster at Chernobyl, the history of the Lakota tribe. And memoirists have confronted harrowing and profound subjects: Life in New Orleans during and after Hurricane Katrina; decades spent in solitary confinement; psychological abuse in intimate relationships. Below, The New York Times’s three daily book critics — Dwight Garner, Parul Sehgal and Jennifer Szalai — share their thoughts about their favorites among the books they reviewed this year, each list alphabetical by author.",cancer,Times Critics’ Top Books of 2019,54.0,54.0,54.0,54.0
55,"There’s no image in biology more iconic than our chromosomes — all 23 pairs of DNA bundles arrayed in a genetic lineup. But in a surprising number of cases, this picture leaves out something very important.",cancer,Scientists Are Just Beginning to Understand Mysterious DNA Circles Common in Cancer Cells,55.0,55.0,55.0,55.0
56,"Efforts to reduce deaths from breast cancer in women have long focused on early detection and post-surgical treatment with drugs, radiation or both to help keep the disease at bay. And both of these approaches, used alone or together, have resulted in a dramatic reduction in breast cancer mortality in recent decades.",cancer,Shifting the Focus of Breast Cancer to Prevention,56.0,56.0,56.0,56.0
57,"How could a researcher in computer science improve future cancer care, I wondered, when a trip to Boston afforded me the opportunity to converse with Regina Barzilay, a professor at the Massachusetts Institute of Technology and the recipient in 2017 of a prestigious MacArthur Fellowship, known as a “genius grant.” After a breast cancer diagnosis in 2014, Dr. Barzilay, who has a doctorate in computer science, began directing her work in artificial intelligence toward helping other patients.",cancer,Using A.I. to Transform Breast Cancer Care,57.0,57.0,57.0,57.0
58,Doctors have for the first time in the United States tested a powerful gene-editing technique in people with cancer.,cancer,Crispr Takes Its First Steps in Editing Genes to Fight Cancer,58.0,58.0,58.0,58.0
59,"At the age of 41, Jenny Rose Ryan was shocked to learn she had breast cancer. ",cancer,‘No Longer a Disease for Our Moms and Grandmas’: Women on Early Breast Cancer,59.0,59.0,59.0,59.0
60,"WASHINGTON — Justice Ruth Bader Ginsburg was admitted to Johns Hopkins Hospital in Baltimore on Friday night after experiencing chills and fever earlier in the day, a Supreme Court spokeswoman said on Saturday.",cancer,Justice Ruth Bader Ginsburg Hospitalized,60.0,60.0,60.0,60.0
61,,cancer,How 2 Survivors Find Strength in Vulnerability,61.0,61.0,61.0,61.0
62,"President Trump said Friday that he intended to nominate Dr. Stephen M. Hahn, a top executive at The University of Texas M.D. Anderson Cancer Center, to be the next commissioner of the Food and Drug Administration.",cancer,"Trump to Nominate Stephen Hahn, Cancer Researcher, to Head F.D.A.",62.0,62.0,62.0,62.0
63,Humans have spread a contagious form of cancer around the world.,cancer,Humans Shipped an Awful Cargo Across the Seas: Cancer,63.0,63.0,63.0,63.0
64,Eating yogurt and fiber may lower the risk for lung cancer.,cancer,Fiber and Yogurt Tied to Lower Lung Cancer Risk,64.0,64.0,64.0,64.0
65,"When you find out you have breast cancer, you might be pulling ramen from water with a pasta fork. Your son might be watching “SpongeBob,” so you might hear that dull drone of Patrick Star the starfish in your mind as you fall. ",cancer,"Surprise, You Have Early Breast Cancer",65.0,65.0,65.0,65.0
66,"Even a little exercise may help people avoid and survive many types of cancer, according to new exercise guidelines released today that focus on how exercise affects cancer outcomes.",cancer,"Exercise Advice for Surviving Cancer, and Maybe Avoiding It",66.0,66.0,66.0,66.0
67,"Having psoriasis is associated with an increased risk of cancer, a new review of studies concludes.",cancer,Psoriasis Tied to Increased Cancer Risk,67.0,67.0,67.0,67.0
68,,cancer,"Dr. Bernard Fisher, Who Revolutionized Breast Cancer Treatment, Dies at 101",68.0,68.0,68.0,68.0
69,"A critical drug that serves as the backbone of treatment for most childhood cancers, including leukemias, lymphomas and brain tumors, has become increasingly scarce, and doctors are warning that they may soon be forced to consider rationing doses. ",cancer,"Faced With a Drug Shortfall, Doctors Scramble to Treat Children With Cancer",69.0,69.0,69.0,69.0
70,"“If you see something, say something,” a catchy warning from the Department of Homeland Security about possible terrorist threats, applies as well to skin lesions that, if ignored, could become fatal.",cancer,Staying on Guard Against Skin Cancer,70.0,70.0,70.0,70.0
71,"This week, the Huntsman family — one of the most philanthropic in the United States — made a $150 million gift to the University of Utah to establish the Huntsman Mental Health Institute.",cancer,A New Generation Stakes Out a New Path for Charitable Giving,71.0,71.0,71.0,71.0
72,"By now, you’ve probably heard that your body is teeming with bacteria. Some 100 trillion of them live on your skin, in your mouth and in the coils of your intestines. Some protect against infections and help you digest food, while others can make you seriously ill.",cancer,"In the Pancreas, Common Fungi May Drive Cancer",72.0,72.0,72.0,72.0
73,THE FIRST CELLAnd the Human Costs of Pursuing Cancer to the LastBy Azra Raza,cancer,An Oncologist Asks When It’s Time to Say ‘Enough’,73.0,73.0,73.0,73.0
74,"Pancreatic cancer, which will be diagnosed in about 56,770 people in the United States this year, is the only cancer with a rising mortality rate through 2014, although five-year survival has begun to inch up, from 8 percent to 9 percent by 2016. It remains the nation’s third leading cause of cancer deaths, after cancers of the lung and colon, and it is on track to overtake colon cancer within a decade. Three-fourths of people who develop pancreatic cancer die within a year of diagnosis, and only about one in 10 live five years or longer.",cancer,Why Can’t We Stop Pancreatic Cancer?,74.0,74.0,74.0,74.0
75,"Mathew Knowles, the father and former manager of Beyoncé and Solange, revealed this week that he received treatment for breast cancer this year, becoming one of the rare men to face the disease. ",cancer,"Beyoncé’s Father, Mathew Knowles, on His Breast Cancer Diagnosis",75.0,75.0,75.0,75.0
76,"The French drug maker Sanofi said Friday that it was recalling the over-the-counter heartburn drug Zantac in the United States and Canada, a month after the Food and Drug Administration first alerted the public that versions of the drug contained low levels of a cancer-causing contaminant.",cancer,Zantac Recall Widens as Sanofi Pulls Its Drug Over Carcinogen Fears,76.0,76.0,76.0,76.0
77,"RADICALThe Science, Culture and History of Breast Cancer in AmericaBy Kate Pickert",cancer,Want to Learn More About Breast Cancer? Read This Book,77.0,77.0,77.0,77.0
78,"The scientist at M.D. Anderson Cancer Center in Houston was hardly discreet. “Here is the bones and meet of what you want,” he wrote in a misspelled email to researchers in China. ",cancer,Vast Dragnet Targets Theft of Biomedical Secrets for China,78.0,78.0,78.0,78.0
79,To the Editor:,cancer,"Grim Planning: Wills, Estates, Health Care Proxies …",79.0,79.0,79.0,79.0
80,"Getting a lot of vitamin A in your diet is tied to a lower risk for squamous cell carcinoma, a common form of skin cancer, a review of studies has found.",cancer,Foods High in Vitamin A May Help Ward Off Skin Cancer,80.0,80.0,80.0,80.0
81,"LIZETTE IRVIN, HEAVILY PREGNANT, reclined on a hospital bed, relaxed, considering the circumstances. A bag of fluid dripped into her blood through an IV line as Irvin sucked on ice cubes, trying to pass the time. The ice helped to minimize the metallic taste and heat in her mouth from 5-fluorouracil, an antimetabolite, which entered her bloodstream via a catheter inserted in her chest. It was June 16, Irvin’s fourth round of chemotherapy. She was 32 weeks pregnant and had breast cancer. ",cancer,"With Child, With Cancer",81.0,81.0,81.0,81.0
82,"Ongoing breakthroughs in cancer care involve personalized medicine, we are often informed. Because every malignancy is unique in terms of its genetics and genomics, one size (or protocol) cannot fit all.",cancer,A Cancer Researcher Takes Cancer Personally,82.0,82.0,82.0,82.0
83,"I spent last week trying to hope for the recurrence of a malignancy, a tumor of at least 1.5 centimeters (a bit more than half an inch) that would be visible on a CT scan. ",cancer,Living With Cancer: The Trials of Cancer Trials,83.0,83.0,83.0,83.0
84,"Chronic drug shortages that threaten patient care are caused by rock-bottom prices for older generic medicines and a health care marketplace that doesn’t run on the rules of supply and demand, among other factors, according to a federal report published on Tuesday.",cancer,U.S. Blames Drug Shortages on Low Prices and a ‘Broken Marketplace’,84.0,84.0,84.0,84.0
85,"Annapolis, Md.",cancer,Feeding the Cancer Machine,85.0,85.0,85.0,85.0
86,"In a letter to colleagues announcing his departure as the director of the National Cancer Institute, Dr. Harold Varmus, 75, quoted Mae West. “I’ve been rich and I’ve been poor,” he wrote, “and rich is better.”",cancer,The Condition Cancer Research Is In,86.0,86.0,86.0,86.0
87,"The battle over health care focuses on access to insurance, or tempests like the one that erupted over new mammogram guidelines.",cancer,Cancer From the Kitchen?,87.0,87.0,87.0,87.0
88,"Documentaries about innovative figures don’t always offer correspondingly innovative filmmaking. But even coloring within the lines of conventional biographical storytelling, “Jim Allison: Breakthrough” provides an accessible introduction to James P. Allison, who, along with Tasuku Honjo of Japan, won a Nobel Prize in 2018 for discoveries in cancer immunotherapy.",cancer,‘Jim Allison: Breakthrough’ Review: Taking On Cancer,88.0,88.0,88.0,88.0
89,"With cancer, there are generally two scenarios – you either have it or you don’t. But I am somewhere in the middle, stuck inside a vortex. I don’t have cancer, but as a notable breast surgeon told me, “For you, it’s not a matter of if you’ll get it, but when.” And so I find myself on permanent standby… just waiting.",cancer,Waiting for Cancer,89.0,89.0,89.0,89.0
90,"When I was a kid I had the wildest crush on my Uncle Breeze's wife, Betty. She was beautiful and with all my heart I wanted to grow up and marry someone just like her.",cancer,Illogical Cutbacks on Cancer,90.0,90.0,90.0,90.0
91,"For decades, science has classified cancers by the organ or system in which they begin. That taxonomy is slowly being replaced — but it’s still the indispensable way to understand the odds.",cancer,The Cancer Almanac,91.0,91.0,91.0,91.0
92,"I got a call from a friend last year. He had prostate cancer and wanted some help thinking through what to do. He had gone to his doctors for the details about his physical condition. He was calling me for help dealing with the other condition he knew he was facing — excessive fear of this dreaded disease that sometimes does more harm than good, what some have called “cancer phobia.” [1]",cancer,Cancer on the Brain,92.0,92.0,92.0,92.0
93,"Dr. Richard WenderCancer rates may be falling, the Times reports today, but patients still find it difficult to obtain adequate treatment -- particularly for such difficult forms of the disease as colon cancer. How should patients take charge of their care? What can be done to improve the system?  Dr. Richard Wender, president of American Cancer Society, is taking readers' questions. His answers will appear here beginning on Monday. Post your questions below; Dr. Wender will not be able to answer all questions, and requests for personal medical advice will not be honored. ",cancer,Expert Q&A: Cancer,93.0,93.0,93.0,93.0
94,"I am not a cancer survivor, and neither are the women in my cancer support group. ",cancer,Not a Cancer Survivor,94.0,94.0,94.0,94.0
95,"As the elderly man with an incurable cancer lay dying, he told his son he had only one regret. Rather than enjoying his last weeks of life with the people and places he loved, he had squandered them on drug treatments that consumed his days and made him miserable.",cancer,Cancer Treatment at the End of Life,95.0,95.0,95.0,95.0
96,"More than two million American men are currently living with prostate cancer, yet the national conversation about the disease consistently falls short. My colleague Dana Jennings, a writer and editor for The Times, was diagnosed with prostate cancer seven months ago. He has generously offered to share some of his experiences with the disease as a regular contributor to the Well blog.  By Dana Jennings  There is no such thing as a ""good cancer."" When my prostate cancer was diagnosed last April, I can't tell you how many well-meaning friends and acquaintances said: ""At least you have a good cancer."" What they were trying to say is that prostate cancer is often very treatable when detected in its early stages. Even so, nearly 30,000 American men died last year of ""the good cancer.""  (Photo: Dana Jennings. (Lonnie Schlein/The New York Times))   My cancer did appear to fall within the range of the ordinary. Treatment is still treatment, though, and a prostatectomy, no matter the method, is major surgery, with the twin shadows of impotence and incontinence always present.  But after my radical open prostatectomy on July 7, the pathology report revealed that my cancer wasn't so ordinary, after all, and showed what one doctor called a ""somewhat extraordinary scenario."" My apparently run-of-the-mill prostate cancer was actually an aggressive star among such cancers.  Rather than being a typically slow and pokey prostate cancer, mine had marched beyond the prostate and invaded a seminal vesicle and other tissue. It was a pure and aggressive prostate cancer. I soared from pre-surgery Gleason scores of 6 or 7 (two different hospitals, two different scores) to a Gleason of 9 — the higher the number on this scale of 10 the worse the news — and from having a probable Stage 1 cancer to a Stage 3: Stage T3B to be exact.  Some men with Gleason 9's do well, my doctors say, others don't. And even if I go into remission after my current treatment of hormonal therapy coupled with radiation, there's still a 50 percent chance that the cancer will return.  I'm 51 and married, have two sons (19 and 22), and I'm on the young side to have prostate cancer. If my cancer had been ""ordinary,"" if the prostate had been simply snipped out with only the usual complications (which are significant), I might not have felt compelled to write about it.   But I've been living with my cancer for more than seven months now, and have taken to regularly writing down my experiences and feelings about the disease in a journal to help me cope with — and try to understand — the very personal challenges it presents. Despite the prevalence of prostate cancer (nearly 200,000 new cases are diagnosed each year), I have found my diagnosis to be surprisingly isolating, partly because, in my view, the national conversation about prostate cancer is lacking. It dwells on statistics and treatment, and ignores deeper issues.  Doctors tend to default to mere competent professionalism, forgetting to talk directly to the scared flesh-and-blood man bearing the disease. Friends shift uncomfortably, turn squeamish, when the conversation turns to the most personal aspects of treatment, like sex, impotence and incontinence. And even men who have prostate cancer themselves, taking their cues from their doctors, I suspect, find it difficult to talk about. Instead, they sound as if they're spokesmen for their cancer, not men stricken with a serious disease.  In these posts I hope to provide an antidote to the averted eyes and the retreat into medical jargon that sometimes characterize talk about prostate cancer. Prostate cancer isn't just about surgery, treatment and survival — it's also about relationships, sex, self-esteem, embarrassment, hope and fear. By writing about my own experiences, I hope I can start a personal, honest and down-to-earth conversation about the disease — in all its bewildering sadness and, yes, in all its strange humor — with fellow prostate cancer patients, their caregivers and anyone else who is interested.   And I'll say this one more time: There is no such thing as a ""good cancer.""  Please join the discussion by posting your comment below. ",cancer,The Good Cancer?,96.0,96.0,96.0,96.0
97,"Cancer is a terrible bedfellow. It tosses and turns, snorting and kicking and snatching more than its share of the covers. It never caresses or croons lullabies, but instead hisses innuendos into the wee hours, turning wakefulness into a wake. No wonder insomnia plagues cancer patients, often sending us to chemical aids. Ten years after diagnosis, could I finally dispense with them?",cancer,Sleeping With Cancer,97.0,97.0,97.0,97.0
98,Cancer is a disease of mutations. Tumor cells are riddled with genetic mutations not found in healthy cells. Scientists estimate that it takes five to 10 key mutations for a healthy cell to become cancerous. ,cancer,Researchers Explore a Cancer Paradox,98.0,98.0,98.0,98.0
99,"Nine years ago, Brenda Gray, a former schoolteacher in North Carolina, discovered she had Type 2 diabetes.",cancer,Juggling Diabetes and Cancer,99.0,99.0,99.0,99.0
100,"As nations across Africa have made remarkable progress against infectious diseases, more people are living long enough to develop cancer.",cancer,The Cancer Divide,100.0,100.0,100.0,100.0
101,"For more than a century, researchers were puzzled by the uncanny ability of cancer cells to evade the immune system. They knew cancer cells were grotesquely abnormal and should be killed by white blood cells. In the laboratory, in Petri dishes, white blood cells could go on the attack against cancer cells. Why, then, could cancers survive in the body?",cancer,Breaking Through Cancer’s Shield,101.0,101.0,101.0,101.0
